age,type_employer,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
22,Private,HS-grad,Never-Married,Service,Not-in-family,White,Female,None,None,45,United-States,LessThan50K
68,Private,HS-grad,Never-Married,Sales,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
55,Self-Employed,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,99,United-States,GreaterThan50K
22,Self-Employed,HS-grad,Never-Married,Service,Own-child,White,Male,None,None,40,Euro_2,LessThan50K
25,Private,HS-Graduate,Married,White-Collar,Wife,White,Female,None,None,15,United-States,LessThan50K
68,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
62,Private,HS-Graduate,Widowed,White-Collar,Not-in-family,White,Female,None,None,16,United-States,LessThan50K
26,Private,HS-grad,Not-Married,Service,Other-relative,White,Male,None,None,40,United-States,LessThan50K
34,Private,Masters,Married,Professional,Husband,White,Male,None,None,55,United-States,GreaterThan50K
68,Private,HS-Graduate,Widowed,Sales,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
42,Other-Govt,Bachelors,Not-Married,White-Collar,Not-in-family,White,Male,None,None,45,United-States,GreaterThan50K
45,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,55,United-States,LessThan50K
26,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
25,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
23,Private,Bachelors,Never-Married,Professional,Own-child,White,Male,None,None,50,United-States,LessThan50K
65,Not-Working,Dropout,Widowed,Blue-Collar,Unmarried,White,Female,None,None,50,United-States,LessThan50K
31,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,50,United-States,LessThan50K
26,Private,HS-grad,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
39,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,GreaterThan50K
44,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
45,Other-Govt,Masters,Not-Married,Professional,Unmarried,White,Female,Low,None,45,United-States,LessThan50K
26,Self-Employed,Masters,Never-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,LessThan50K
26,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,35,United-States,LessThan50K
36,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,LessThan50K
38,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
39,Private,HS-grad,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,48,United-States,LessThan50K
52,Self-Employed,Prof-School,Married,White-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
39,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,45,Latin-America,LessThan50K
41,Self-Employed,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
42,Other-Govt,Masters,Married,White-Collar,Husband,White,Male,None,High,60,United-States,GreaterThan50K
47,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,70,United-States,LessThan50K
28,Other-Govt,Associates,Married,Other-Occupations,Husband,Black,Male,None,None,46,United-States,LessThan50K
25,Other-Govt,Bachelors,Never-Married,Professional,Own-child,White,Male,None,None,35,United-States,LessThan50K
35,Private,Bachelors,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
32,Private,HS-grad,Not-Married,Admin,Unmarried,White,Female,None,None,40,United-States,LessThan50K
38,Private,Masters,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,GreaterThan50K
44,Private,HS-Graduate,Married,Other-Occupations,Husband,White,Male,None,None,18,United-States,GreaterThan50K
27,Private,Bachelors,Never-Married,Sales,Own-child,White,Female,None,None,40,United-States,LessThan50K
30,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,None,None,55,United-States,GreaterThan50K
30,Private,Bachelors,Never-Married,Sales,Not-in-family,White,Male,None,Low,48,United-States,LessThan50K
45,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,Low,45,United-States,LessThan50K
20,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
57,Private,Masters,Never-Married,Professional,Not-in-family,White,Male,None,None,80,United-States,LessThan50K
43,Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Male,None,None,48,United-States,LessThan50K
28,Private,Dropout,Married,Blue-Collar,Other-relative,Asian,Female,None,None,48,China,LessThan50K
25,Private,HS-grad,Married,Other-Occupations,Other-relative,White,Female,None,None,48,United-States,GreaterThan50K
25,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,40,United-States,LessThan50K
90,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
38,Other-Govt,Bachelors,Not-Married,Professional,Unmarried,Black,Male,None,None,40,United-States,LessThan50K
35,Private,Bachelors,Not-Married,White-Collar,Unmarried,White,Female,None,None,40,United-States,LessThan50K
50,Other-Govt,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40,British-Commonwealth,GreaterThan50K
26,Other-Govt,HS-grad,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
39,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
56,Private,Dropout,Married,Sales,Husband,White,Male,None,None,40,United-States,LessThan50K
24,Other-Govt,HS-grad,Not-Married,Other-Occupations,Unmarried,Black,Female,None,None,40,United-States,LessThan50K
46,Private,HS-grad,Married,Admin,Wife,White,Female,High,None,40,United-States,GreaterThan50K
18,Other-Govt,Dropout,Never-Married,Admin,Other-relative,White,Female,None,None,25,United-States,LessThan50K
37,Private,Masters,Married,White-Collar,Husband,White,Male,None,High,60,United-States,GreaterThan50K
57,Private,Masters,Not-Married,Professional,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
43,Other-Govt,HS-grad,Never-Married,Admin,Unmarried,Black,Female,None,None,40,United-States,LessThan50K
29,Other-Govt,Bachelors,Married,Professional,Husband,White,Male,None,None,25,Latin-America,LessThan50K
40,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
44,Self-Employed,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
77,Other-Govt,HS-grad,Married,White-Collar,Husband,White,Male,None,None,6,United-States,LessThan50K
30,Private,Bachelors,Never-Married,Professional,Not-in-family,Black,Male,None,None,40,United-States,LessThan50K
21,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
66,Private,Dropout,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,LessThan50K
40,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,35,United-States,LessThan50K
68,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,40,United-States,LessThan50K
64,Private,HS-grad,Widowed,Service,Not-in-family,White,Female,None,None,38,United-States,LessThan50K
26,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,LessThan50K
32,Private,HS-Graduate,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
32,Private,HS-grad,Never-Married,Admin,Own-child,White,Male,None,None,38,United-States,LessThan50K
51,Other-Govt,Masters,Married,Professional,Husband,White,Male,None,None,40,United-States,GreaterThan50K
50,Private,Masters,Married,Professional,Husband,White,Male,High,None,45,United-States,GreaterThan50K
49,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,50,United-States,GreaterThan50K
28,Private,Bachelors,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,20,United-States,LessThan50K
29,Private,HS-grad,Not-Married,Service,Unmarried,White,Female,None,None,36,United-States,LessThan50K
21,Private,HS-Graduate,Never-Married,Sales,Own-child,White,Male,None,None,30,United-States,LessThan50K
28,Private,HS-grad,Never-Married,Admin,Unmarried,Black,Female,None,None,40,United-States,LessThan50K
55,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
45,Self-Employed,HS-grad,Married,Sales,Husband,Asian,Male,None,None,50,Euro_2,GreaterThan50K
35,Private,HS-Graduate,Never-Married,Sales,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
26,Private,Masters,Never-Married,Professional,Not-in-family,White,Male,High,None,40,United-States,GreaterThan50K
30,Private,HS-grad,Married,Service,Husband,White,Male,None,None,55,Euro_1,LessThan50K
33,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,20,United-States,LessThan50K
40,Private,Bachelors,Not-Married,Professional,Not-in-family,Asian,Male,High,None,40,SE-Asia,GreaterThan50K
23,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
35,Private,HS-Graduate,Never-Married,Sales,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
48,Self-Employed,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,GreaterThan50K
39,Other-Govt,Dropout,Not-Married,Blue-Collar,Own-child,Black,Male,None,None,40,United-States,LessThan50K
53,Other-Govt,Prof-School,Not-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,LessThan50K
49,Federal-Govt,HS-grad,Married,Admin,Husband,White,Male,None,None,40,United-States,GreaterThan50K
31,Private,Bachelors,Never-Married,White-Collar,Not-in-family,Black,Female,None,None,40,United-States,LessThan50K
36,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,Low,None,40,United-States,GreaterThan50K
60,Self-Employed,HS-Graduate,Married,White-Collar,Husband,White,Male,High,None,50,United-States,GreaterThan50K
29,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,48,United-States,LessThan50K
54,Self-Employed,HS-Graduate,Married,Sales,Husband,White,Male,None,None,45,United-States,GreaterThan50K
34,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,LessThan50K
30,Private,HS-Graduate,Never-Married,Sales,Not-in-family,Black,Female,None,None,35,United-States,LessThan50K
26,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
47,Private,HS-Graduate,Never-Married,Sales,Not-in-family,White,Male,None,None,70,United-States,GreaterThan50K
50,Private,HS-grad,Not-Married,White-Collar,Unmarried,White,Male,None,None,38,United-States,LessThan50K
30,Private,Bachelors,Never-Married,White-Collar,Unmarried,White,Female,None,None,45,United-States,GreaterThan50K
44,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,50,United-States,LessThan50K
49,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,60,United-States,GreaterThan50K
75,Self-Employed,Masters,Not-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,LessThan50K
37,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,55,United-States,GreaterThan50K
51,Other-Govt,HS-grad,Not-Married,Blue-Collar,Unmarried,White,Male,None,None,38,United-States,LessThan50K
35,Private,HS-grad,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,35,United-States,LessThan50K
28,Private,HS-Graduate,Never-Married,Sales,Other-relative,White,Female,None,None,40,United-States,LessThan50K
66,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,Low,None,40,United-States,LessThan50K
72,Private,Dropout,Married,White-Collar,Wife,Asian,Female,None,None,48,United-States,GreaterThan50K
39,Private,Bachelors,Not-Married,Sales,Not-in-family,White,Male,None,None,50,United-States,LessThan50K
27,Private,HS-grad,Never-Married,Blue-Collar,Own-child,Black,Male,None,None,30,United-States,LessThan50K
57,Private,HS-Graduate,Never-Married,Admin,Other-relative,Black,Female,None,None,40,Latin-America,LessThan50K
24,Private,Dropout,Married,Blue-Collar,Husband,White,Male,Low,None,38,United-States,LessThan50K
28,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,70,United-States,LessThan50K
23,Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Female,None,None,50,United-States,LessThan50K
31,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,None,Low,40,United-States,LessThan50K
23,Private,HS-Graduate,Never-Married,Service,Own-child,White,Female,None,None,20,United-States,LessThan50K
31,Private,HS-Graduate,Never-Married,Service,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
27,Other-Govt,Bachelors,Never-Married,Professional,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
30,Private,Bachelors,Married,Professional,Husband,White,Male,None,Low,45,United-States,LessThan50K
34,Private,Masters,Never-Married,Professional,Not-in-family,White,Male,Low,None,60,United-States,LessThan50K
57,Federal-Govt,HS-grad,Never-Married,Admin,Not-in-family,White,Male,None,High,40,United-States,LessThan50K
39,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,40,Other,GreaterThan50K
23,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
24,Other-Govt,Associates,Married,Service,Wife,White,Female,None,None,40,United-States,LessThan50K
36,Private,Doctorate,Never-Married,Professional,Not-in-family,White,Male,None,None,40,British-Commonwealth,LessThan50K
32,Private,HS-Graduate,Not-Married,Service,Other-relative,White,Male,None,None,40,Latin-America,LessThan50K
35,Private,Associates,Not-Married,Service,Own-child,White,Female,None,None,40,United-States,LessThan50K
36,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
47,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
35,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
44,Federal-Govt,HS-Graduate,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,LessThan50K
32,Other-Govt,Masters,Married,Professional,Husband,White,Male,None,None,50,United-States,LessThan50K
32,Private,Associates,Married,White-Collar,Wife,White,Female,None,Low,40,United-States,GreaterThan50K
63,Self-Employed,HS-Graduate,Married,Professional,Wife,White,Female,High,None,10,United-States,GreaterThan50K
34,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
47,Private,HS-grad,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
27,Private,Dropout,Married,Sales,Own-child,Black,Male,None,None,35,United-States,LessThan50K
23,Private,HS-grad,Not-Married,White-Collar,Unmarried,White,Female,None,None,42,United-States,LessThan50K
50,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,38,United-States,LessThan50K
49,Other-Govt,HS-Graduate,Married,Professional,Husband,White,Male,None,None,40,United-States,LessThan50K
36,Private,HS-Graduate,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
23,Private,Bachelors,Never-Married,White-Collar,Unmarried,White,Male,None,None,40,United-States,LessThan50K
61,Private,Dropout,Widowed,Service,Unmarried,Black,Female,None,None,38,United-States,LessThan50K
41,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,16,United-States,LessThan50K
27,Self-Employed,Bachelors,Married,White-Collar,Husband,White,Male,None,None,60,United-States,GreaterThan50K
53,Private,Bachelors,Not-Married,White-Collar,Not-in-family,White,Male,None,None,70,United-States,LessThan50K
17,Self-Employed,Dropout,Never-Married,Admin,Own-child,White,Male,None,None,10,United-States,LessThan50K
53,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
28,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,Low,42,United-States,GreaterThan50K
24,Private,Bachelors,Not-Married,Professional,Own-child,White,Female,None,None,40,United-States,LessThan50K
22,Private,HS-Graduate,Never-Married,Admin,Not-in-family,White,Female,None,None,20,United-States,LessThan50K
53,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,50,United-States,GreaterThan50K
18,Private,Dropout,Never-Married,Service,Other-relative,Black,Male,None,None,20,United-States,LessThan50K
24,Private,HS-Graduate,Never-Married,Sales,Unmarried,White,Male,None,None,50,Latin-America,LessThan50K
20,Private,HS-grad,Never-Married,Sales,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
30,Other-Govt,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
37,Other-Govt,Associates,Never-Married,Professional,Not-in-family,White,Male,High,None,40,United-States,GreaterThan50K
34,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
19,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,30,United-States,LessThan50K
20,Private,Dropout,Never-Married,Admin,Own-child,White,Female,None,None,40,Latin-America,LessThan50K
47,Private,HS-grad,Not-Married,Service,Not-in-family,Asian,Female,None,None,40,United-States,LessThan50K
22,Private,Bachelors,Never-Married,Professional,Own-child,White,Female,None,None,40,United-States,LessThan50K
42,Other-Govt,Masters,Married,White-Collar,Husband,White,Male,None,High,40,United-States,GreaterThan50K
60,Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
32,Private,HS-grad,Never-Married,Service,Unmarried,White,Female,None,None,40,Latin-America,LessThan50K
46,Private,HS-grad,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
66,Private,HS-grad,Widowed,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
37,Private,Bachelors,Married,Service,Wife,Asian,Female,None,None,30,United-States,GreaterThan50K
34,Private,HS-Graduate,Not-Married,White-Collar,Own-child,White,Male,None,None,44,United-States,LessThan50K
45,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,None,None,46,United-States,LessThan50K
35,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
51,Other-Govt,HS-Graduate,Married,White-Collar,Husband,Black,Male,None,None,40,United-States,GreaterThan50K
36,Other-Govt,HS-Graduate,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,GreaterThan50K
25,Federal-Govt,HS-grad,Never-Married,Admin,Own-child,Black,Male,None,None,40,United-States,LessThan50K
51,Private,HS-grad,Not-Married,Service,Unmarried,White,Female,None,None,38,United-States,LessThan50K
25,Self-Employed,HS-Graduate,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
19,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,45,United-States,LessThan50K
47,Private,HS-Graduate,Married,White-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
59,Other-Govt,HS-grad,Not-Married,Other-Occupations,Unmarried,Black,Female,None,None,40,United-States,LessThan50K
34,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
40,Private,HS-Graduate,Not-Married,White-Collar,Unmarried,White,Female,None,None,60,United-States,LessThan50K
42,Private,HS-grad,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,45,United-States,LessThan50K
37,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,60,United-States,GreaterThan50K
51,Self-Employed,Associates,Married,Sales,Husband,White,Male,None,None,38,United-States,GreaterThan50K
25,Private,HS-grad,Never-Married,Admin,Own-child,White,Male,None,None,36,United-States,LessThan50K
31,Federal-Govt,HS-grad,Married,Admin,Wife,White,Female,None,None,40,United-States,GreaterThan50K
37,Private,HS-grad,Married,Service,Husband,White,Male,None,None,44,United-States,GreaterThan50K
42,Private,Associates,Married,Sales,Husband,White,Male,None,None,45,United-States,GreaterThan50K
35,Private,HS-Graduate,Not-Married,Sales,Not-in-family,White,Male,None,None,50,United-States,LessThan50K
51,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,47,United-States,GreaterThan50K
49,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,Low,40,United-States,GreaterThan50K
26,Private,Bachelors,Never-Married,Professional,Not-in-family,Asian,Male,None,None,16,Other,LessThan50K
56,Other-Govt,HS-grad,Not-Married,Admin,Not-in-family,White,Female,None,None,46,United-States,LessThan50K
52,Private,HS-Graduate,Married,Professional,Husband,White,Male,None,None,45,United-States,GreaterThan50K
47,Other-Govt,Bachelors,Not-Married,White-Collar,Not-in-family,White,Female,None,None,40,United-States,GreaterThan50K
52,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
30,Private,HS-grad,Not-Married,Blue-Collar,Unmarried,White,Female,None,None,40,United-States,LessThan50K
43,Self-Employed,HS-Graduate,Married,Sales,Husband,White,Male,High,None,55,United-States,GreaterThan50K
42,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,Low,40,United-States,GreaterThan50K
26,Private,HS-Graduate,Not-Married,Blue-Collar,Other-relative,Black,Female,None,None,35,Latin-America,LessThan50K
58,Other-Govt,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
66,Private,HS-Graduate,Married,Sales,Husband,White,Male,Low,None,40,United-States,GreaterThan50K
30,Private,HS-grad,Married,Other-Occupations,Husband,White,Male,None,None,60,United-States,GreaterThan50K
46,Private,HS-Graduate,Not-Married,Admin,Unmarried,White,Female,None,None,40,United-States,LessThan50K
45,Private,HS-Graduate,Married,Admin,Wife,White,Female,None,High,35,United-States,GreaterThan50K
57,Private,HS-grad,Never-Married,Sales,Unmarried,White,Female,None,None,40,United-States,LessThan50K
25,Private,Bachelors,Never-Married,White-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
21,Other-Govt,HS-Graduate,Never-Married,Other-Occupations,Own-child,White,Female,None,None,10,United-States,LessThan50K
37,Private,HS-grad,Not-Married,Blue-Collar,Not-in-family,White,Male,None,Low,55,United-States,LessThan50K
45,Other-Govt,Masters,Not-Married,Professional,Not-in-family,White,Female,None,None,30,United-States,LessThan50K
39,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
42,Private,HS-grad,Married,Admin,Wife,White,Female,None,None,53,United-States,LessThan50K
20,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Female,None,None,40,United-States,LessThan50K
23,Private,HS-grad,Never-Married,Other-Occupations,Own-child,Black,Male,None,None,16,United-States,LessThan50K
25,Private,Bachelors,Never-Married,Other-Occupations,Own-child,White,Male,None,None,40,United-States,LessThan50K
47,Private,Dropout,Never-Married,Service,Own-child,White,Female,None,None,40,South-America,LessThan50K
24,Private,HS-grad,Never-Married,Sales,Own-child,White,Male,None,None,45,United-States,LessThan50K
35,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,70,United-States,LessThan50K
44,Other-Govt,HS-grad,Married,Service,Wife,Black,Female,None,None,38,Latin-America,GreaterThan50K
47,Other-Govt,HS-Graduate,Married,Professional,Husband,White,Male,None,None,50,United-States,LessThan50K
28,Other-Govt,Dropout,Not-Married,Admin,Unmarried,Asian,Female,None,None,40,British-Commonwealth,LessThan50K
41,Other-Govt,Masters,Not-Married,Professional,Unmarried,White,Female,None,None,60,United-States,LessThan50K
31,Private,HS-grad,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
27,Private,Masters,Never-Married,White-Collar,Not-in-family,White,Female,None,None,25,United-States,LessThan50K
47,Private,Associates,Married,Blue-Collar,Husband,White,Male,Low,None,40,United-States,LessThan50K
44,Private,HS-grad,Never-Married,Sales,Not-in-family,Asian,Female,None,None,40,United-States,LessThan50K
61,Private,HS-Graduate,Never-Married,Service,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
42,Federal-Govt,HS-Graduate,Not-Married,Admin,Other-relative,White,Female,None,None,40,Latin-America,LessThan50K
46,Private,HS-grad,Never-Married,Service,Not-in-family,White,Female,None,None,28,United-States,LessThan50K
46,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,50,United-States,GreaterThan50K
54,Other-Govt,Masters,Widowed,Professional,Unmarried,White,Female,None,None,38,United-States,LessThan50K
49,Private,HS-grad,Widowed,Other-Occupations,Unmarried,White,Male,None,None,40,United-States,LessThan50K
56,Other-Govt,HS-Graduate,Widowed,Admin,Unmarried,White,Female,None,None,40,United-States,LessThan50K
52,Private,Masters,Not-Married,Professional,Own-child,White,Female,None,None,40,United-States,LessThan50K
34,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,Latin-America,LessThan50K
25,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
18,Private,Dropout,Never-Married,Professional,Own-child,White,Female,None,None,40,United-States,LessThan50K
58,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
31,Other-Govt,Bachelors,Not-Married,Professional,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
29,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,55,United-States,LessThan50K
28,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,None,40,United-States,LessThan50K
30,Private,HS-Graduate,Never-Married,Admin,Not-in-family,White,Male,None,None,48,United-States,LessThan50K
44,Private,Masters,Married,Professional,Husband,White,Male,None,Low,35,United-States,GreaterThan50K
75,Private,Dropout,Widowed,Service,Not-in-family,White,Female,None,None,70,United-States,LessThan50K
26,Private,HS-Graduate,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
33,Self-Employed,Bachelors,Married,Sales,Husband,White,Male,None,None,50,United-States,GreaterThan50K
57,Self-Employed,Masters,Married,Sales,Husband,White,Male,High,None,65,United-States,GreaterThan50K
47,Self-Employed,Dropout,Married,Sales,Husband,White,Male,None,None,55,Euro_1,GreaterThan50K
41,Private,HS-grad,Married,White-Collar,Husband,White,Male,Low,None,40,United-States,GreaterThan50K
21,Private,HS-Graduate,Never-Married,Service,Not-in-family,White,Female,None,None,37,United-States,LessThan50K
17,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,17,United-States,LessThan50K
22,Private,HS-Graduate,Never-Married,Service,Own-child,Black,Female,None,None,15,United-States,LessThan50K
47,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,40,United-States,LessThan50K
45,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
32,Self-Employed,Associates,Not-Married,Sales,Unmarried,White,Male,None,None,50,United-States,LessThan50K
59,Private,Dropout,Not-Married,Service,Not-in-family,Black,Female,None,None,30,United-States,LessThan50K
38,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,LessThan50K
33,Private,HS-grad,Not-Married,Other-Occupations,Own-child,White,Female,None,None,40,United-States,LessThan50K
41,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
51,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
42,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,48,United-States,LessThan50K
27,Private,Bachelors,Married,Professional,Wife,White,Female,None,None,40,United-States,GreaterThan50K
60,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,45,United-States,LessThan50K
64,Other-Govt,HS-grad,Not-Married,Admin,Not-in-family,White,Female,None,None,35,United-States,LessThan50K
37,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
54,Self-Employed,Bachelors,Married,White-Collar,Husband,White,Male,None,None,45,United-States,GreaterThan50K
36,Private,Associates,Married,White-Collar,Wife,White,Female,None,None,50,United-States,GreaterThan50K
41,Self-Employed,Masters,Not-Married,Sales,Unmarried,White,Male,None,None,5,United-States,GreaterThan50K
35,Self-Employed,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,75,United-States,LessThan50K
63,Self-Employed,Masters,Married,Sales,Husband,White,Male,None,None,68,United-States,GreaterThan50K
46,Private,HS-grad,Not-Married,Blue-Collar,Other-relative,White,Male,None,None,40,United-States,LessThan50K
